,,Ai,Ok,Ok,Ok,Ok,,,B,Ok,Ok,Ok,Ok,,,,
,,B,Ok,Ok,Ok,Ok,,,Bi,Ok,Ok,Ok,Ok,,,,
,,Bi,Ok,Ok,Ok,Ok,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1,Funct,,,,,,,,,,,,,,,
,Ref,,A,Ai,B,Bi,,,,,,,,,,,
,,A,Ok,Ok,Ok,Ok,,,,,,,,,,,
,,Ai,Ok,Ok,Ok,Ok,,,,,,,,,,,
,,B,Ok,Ok,Ok,Ok,,,,,,,,,,,
,,Bi,Ok,Ok,Ok,Ok,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2,iFunct,,,,,,,Trans,,,,,,,,
,Ref,,A,Ai,B,Bi,,Ref,,A,Ai,B,Bi,,,,
,,A,Ok,Ok,Ok,Ok,,,A,OK,OK,OK,OK,,,,
,,Ai,OK,OK,OK,Ok,,,Ai,Ok,OK,OK,ok,,,,
,,B,OK,Ok,OK,OK,,,B,Ok,Ok,OK,Ok,,,,
,,Bi,OK,Ok,Ok,OK,,,Bi,Ok,Ok,Ok,Ok,,,,
